name,address,phone,website,facebook,instagram,email,listing_page
Laboratorio Clínico Paseos,"76 Calle Bolivia Suite 102, Hato Rey, San Juan",(787) 999-2797 | (787) 753-6082,https://www.laboratoriopaseos.com,https://www.Facebook.com/LabPaseos,https://www.Instagram.com/labpaseos,labpaseos@labpaseos.com,1
Laboratorio Clínico El Monte,"650 Ave. Luis Muñoz Rivera, Suite 103, Hato Rey, San Juan",(787) 764-0445,https://laboratorioclinicoelmonte.com/,https://www.Facebook.com/Laboratorioclinicoelmonte/,,contacto@elmontelab.com,1
Laboratorio Clínico Bethania,"61 Carbonell, Cabo Rojo",(787) 255-2400,,https://www.Facebook.com/labbethania/,,,1
Laboratorio Clínico Referencia Cima,"7 Saturnino Rodríguez, Yabucoa",(787) 893-5544,https://www.labcima.com,,,info@labcima.com,1
Laboratorio Clínico Candelaria,"Carr. 863 km 0.6 Bo. Pájaros, Toa Baja",(787) 780-7744,https://laboratorioclinicocandelaria.com/,https://www.Facebook.com/laboratorio-cl%c3%adnico-candelaria-451567035321080,,labcandelaria@yahoo.com,1
Laboratorio Clinico del Toa,"Lilly Mini Mall Local 4, Toa Alta",(787) 303-0021,https://www.labdeltoa.com/,https://www.Facebook.com/LaboratorioClinicoDelToaPR/,,labdeltoa@yahoo.com,1
Laboratorio Clínico Sunny Hills Inc,"B-6 Ave Santa Juanita, Bayamón",(787) 778-0404,https://www.labclinicosunnyhills.com,https://www.Facebook.com/laboratorio-clinico-sunny-hills-1186658711397510,,info@aqua-otter-336570.hostingersite.com%20,1
Laboratorio Clinico Negrón,"16 Rodríguez Serra, Sabana Grande",(787) 873-4710,https://www.labnegron.com/,https://www.Facebook.com/Laboratorio-Cl%C3%ADnico-Negr%C3%B3n-235560649841895/,,labnegron@hotmail.com,1
Laboratorio Clínico ABBA,"Carr 106 Km 3.2, Mayagüez",(787) 805-4858,https://www.laboratorioabbapr.com/,https://www.Facebook.com/laboratorioabba,,,1
Laboratorio Clínico Plaza Del Mar,"North Coast Shopping Village, Vega Alta",(787) 883-8150,https://www.laboratorioclinicoplazadelmar.com/,,,lcpdm1@gmail.com,1
Laboratorio Clínico Guayanillense,"135 Muñoz Rivera, Guayanilla",(787) 835-3209,https://www.laboratorioclinicoguayanillense.com/,,,labguayanillense@yahoo.com,1
Laboratorio Clínico Ebenezer,"Carr. 2 Km 118.5, Aguadilla",(787) 882-1785,https://www.laboratorioclinicoebenezer.com,,,ebenezer1108@yahoo.com,1
Laboratorio Clínico Porta Caribe,"Centro Comercial Plaza Santa Isabel, Santa Isabel",(787) 971-7086,https://www.laboratorioclinicosantaisabel.com/,https://www.Facebook.com/laboratorioportacaribe.santaisabel,,labportacaribe@hotmail.com,1
Laboratorio Clínico Gaudier,"De Diego 3, Mayagüez",(787) 265-3135 | (787) 832-0348,https://www.labgaudier.com/,https://www.Facebook.com/LabGaudier,,info@labgaudier.com,1
Laboratorio Clínico Michelsan Inc,"Calle 45 SE y Ave. Américo Miranda, Rio Piedras, San Juan",(787) 751-7255,https://laboratorioclinicomichelsaninc.com/,,,gsantiago@michelsan.com,1
